method,round_id,domain,scenario,n_nodes,gt_label,gt_similarity,pred_similarity,pred_label,abs_error,label_correct,utility,decision
word_tfidf,MED_08_00,medical,药物剂量调整,3,high,0.88,0.374,low,0.506,0,12.4,Audit_Required
word_tfidf,MED_09_00,medical,精神科评估,3,medium,0.62,0.3681,low,0.2519,0,11.81,Audit_Required
word_tfidf,ADM_10_00,admin,餐饮许可证审核,3,high,0.88,0.2384,low,0.6416,0,-1.16,Reject
word_tfidf,ADM_11_00,admin,建设项目环评,3,low,0.18,0.2455,low,0.0655,1,-0.45,Reject
word_tfidf,ADM_12_00,admin,税务稽查处理,3,medium,0.65,0.3811,low,0.26890000000000003,0,13.11,Audit_Required
word_tfidf,ADM_13_00,admin,公务员录用体检,3,high,0.88,0.4223,medium,0.4577,0,17.23,Audit_Required
word_tfidf,LEG_14_00,legal,劳动争议仲裁,3,low,0.15,0.3964,low,0.24639999999999998,1,14.64,Audit_Required
word_tfidf,LEG_15_00,legal,合同效力认定,3,high,0.88,0.2412,low,0.6388,0,-0.88,Reject
word_tfidf,LEG_16_00,legal,知识产权侵权,3,low,0.15,0.3291,low,0.1791,1,7.91,Audit_Required
word_tfidf,LEG_17_00,legal,刑事辩护策略,3,medium,0.65,0.2912,low,0.3588,0,4.12,Audit_Required
word_tfidf,SUP_18_00,supply_chain,供应商资质评审,3,high,0.88,0.299,low,0.581,0,4.9,Audit_Required
word_tfidf,SUP_19_00,supply_chain,库存策略,3,medium,0.6,0.2427,low,0.35729999999999995,0,-0.73,Reject
word_tfidf,SUP_20_00,supply_chain,物流路线规划,3,low,0.15,0.292,low,0.142,1,4.2,Audit_Required
bm25,FIN_00_00,finance,个人贷款审批,3,high,0.88,0.0,low,0.88,0,-25.0,Reject
bm25,FIN_01_00,finance,企业融资尽调,3,medium,0.62,0.0,low,0.62,0,-25.0,Reject
bm25,FIN_02_00,finance,反欺诈核查,3,low,0.15,0.0,low,0.15,1,-25.0,Reject
bm25,FIN_03_00,finance,资产评估定价,3,high,0.88,0.0,low,0.88,0,-25.0,Reject
bm25,FIN_04_00,finance,信用评级,3,medium,0.62,0.0,low,0.62,0,-25.0,Reject
bm25,MED_05_00,medical,急症诊断,3,high,0.88,0.0,low,0.88,0,-25.0,Reject
bm25,MED_06_00,medical,慢性病管理方案,3,medium,0.65,0.0,low,0.65,0,-25.0,Reject
bm25,MED_07_00,medical,手术必要性评估,3,low,0.15,0.0,low,0.15,1,-25.0,Reject
bm25,MED_08_00,medical,药物剂量调整,3,high,0.88,0.0,low,0.88,0,-25.0,Reject
bm25,MED_09_00,medical,精神科评估,3,medium,0.62,0.0,low,0.62,0,-25.0,Reject
bm25,ADM_10_00,admin,餐饮许可证审核,3,high,0.88,0.0,low,0.88,0,-25.0,Reject
bm25,ADM_11_00,admin,建设项目环评,3,low,0.18,0.0,low,0.18,1,-25.0,Reject
bm25,ADM_12_00,admin,税务稽查处理,3,medium,0.65,0.0,low,0.65,0,-25.0,Reject
bm25,ADM_13_00,admin,公务员录用体检,3,high,0.88,0.0,low,0.88,0,-25.0,Reject
bm25,LEG_14_00,legal,劳动争议仲裁,3,low,0.15,0.0133,low,0.1367,1,-23.67,Reject
bm25,LEG_15_00,legal,合同效力认定,3,high,0.88,0.0,low,0.88,0,-25.0,Reject
bm25,LEG_16_00,legal,知识产权侵权,3,low,0.15,0.0,low,0.15,1,-25.0,Reject
bm25,LEG_17_00,legal,刑事辩护策略,3,medium,0.65,0.0,low,0.65,0,-25.0,Reject
bm25,SUP_18_00,supply_chain,供应商资质评审,3,high,0.88,0.0,low,0.88,0,-25.0,Reject
bm25,SUP_19_00,supply_chain,库存策略,3,medium,0.6,0.0,low,0.6,0,-25.0,Reject
bm25,SUP_20_00,supply_chain,物流路线规划,3,low,0.15,0.0,low,0.15,1,-25.0,Reject
sentence_bert,FIN_00_00,finance,个人贷款审批,3,high,0.88,0.6339,medium,0.24609999999999999,0,38.39,Audit_Required
sentence_bert,FIN_01_00,finance,企业融资尽调,3,medium,0.62,0.5359,medium,0.08409999999999995,1,28.59,Audit_Required
sentence_bert,FIN_02_00,finance,反欺诈核查,3,low,0.15,0.6417,medium,0.4917,0,39.17,Audit_Required
sentence_bert,FIN_03_00,finance,资产评估定价,3,high,0.88,0.6823,medium,0.1977,0,43.23,Audit_Required
sentence_bert,FIN_04_00,finance,信用评级,3,medium,0.62,0.6652,medium,0.04520000000000002,1,41.52,Audit_Required
sentence_bert,MED_05_00,medical,急症诊断,3,high,0.88,0.7405,medium,0.13949999999999996,0,49.05,Audit_Required
sentence_bert,MED_06_00,medical,慢性病管理方案,3,medium,0.65,0.7465,medium,0.09650000000000003,1,49.65,Audit_Required
sentence_bert,MED_07_00,medical,手术必要性评估,3,low,0.15,0.5885,medium,0.4385,0,33.85,Audit_Required
sentence_bert,MED_08_00,medical,药物剂量调整,3,high,0.88,0.7414,medium,0.13860000000000006,0,49.14,Audit_Required
sentence_bert,MED_09_00,medical,精神科评估,3,medium,0.62,0.7224,medium,0.10240000000000005,1,47.24,Audit_Required
sentence_bert,ADM_10_00,admin,餐饮许可证审核,3,high,0.88,0.6247,medium,0.25529999999999997,0,37.47,Audit_Required
sentence_bert,ADM_11_00,admin,建设项目环评,3,low,0.18,0.5895,medium,0.40950000000000003,0,33.95,Audit_Required
sentence_bert,ADM_12_00,admin,税务稽查处理,3,medium,0.65,0.6638,medium,0.013799999999999923,1,41.38,Audit_Required
sentence_bert,ADM_13_00,admin,公务员录用体检,3,high,0.88,0.675,medium,0.20499999999999996,0,42.5,Audit_Required
sentence_bert,LEG_14_00,legal,劳动争议仲裁,3,low,0.15,0.6586,medium,0.5085999999999999,0,40.86,Audit_Required
sentence_bert,LEG_15_00,legal,合同效力认定,3,high,0.88,0.6362,medium,0.24380000000000002,0,38.62,Audit_Required
sentence_bert,LEG_16_00,legal,知识产权侵权,3,low,0.15,0.6049,medium,0.45489999999999997,0,35.49,Audit_Required
sentence_bert,LEG_17_00,legal,刑事辩护策略,3,medium,0.65,0.5781,medium,0.07190000000000007,1,32.81,Audit_Required
sentence_bert,SUP_18_00,supply_chain,供应商资质评审,3,high,0.88,0.6854,medium,0.1946,0,43.54,Audit_Required
sentence_bert,SUP_19_00,supply_chain,库存策略,3,medium,0.6,0.6069,medium,0.006900000000000017,1,35.69,Audit_Required
sentence_bert,SUP_20_00,supply_chain,物流路线规划,3,low,0.15,0.5713,medium,0.4213,0,32.13,Audit_Required
